serial_number,ip,username,password
068745431065110091,192.168.0.1:4444,camera1_admin,camera1_password
068745431065110092,192.168.0.2:4444,camera2_admin,camera2_password
068745431065110093,192.168.0.3:4444,camera3_admin,camera3_password
068745431065110094,192.168.0.4:4444,camera4_admin,camera4_password
068745431065110095,192.168.0.5:4444,camera5_admin,camera5_password
068745431065110096,192.168.0.6:4444,camera6_admin,camera6_password
068745431065110097,192.168.0.7:4444,camera7_admin,camera7_password
068745431065110098,192.168.0.8:4444,camera8_admin,camera8_password
068745431065110099,192.168.0.8:4444,camera9_admin,camera9_password
068745431065110100,192.168.0.9:4444,camera10_admin,camera10_password
